# Copyright (c) 1966-2024 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement
# Generated: 2024-01-05
# See end of file for additional documentation on specific fields
# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene/Locus And Other Related Symbols	Gene Name	Approved Gene Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
chr17	17200995	17206333	17p11.2	17p11.2	614960	PLD6, ZUC	Phospholipase D family, member 6	PLD6	201164	ENSG00000179598			Pld6 (MGI:2687283)
chr17	17212212	17237330	17p11.2	17p11.2	607273	FLCN, BHD	Folliculin	FLCN	201163	ENSG00000154803		Birt-Hogg-Dube syndrome, 135150 (3), Autosomal dominant; Colorectal cancer, somatic, 114500 (3); Pneumothorax, primary spontaneous, 173600 (3), Autosomal dominant; Renal carcinoma, chromophobe, somatic, 144700 (3)	Flcn (MGI:2442184)
chr17	17246616	17281246	17p11.2	17p11.2	604665	COPS3, SGN3	COP9 signalosome, subunit 3	COPS3	8533	ENSG00000141030			Cops3 (MGI:1349409)
chr17	17303373	17347663	17p11.2	17p11.2	605292	NT5M, DNT2	Deoxyribonucleotidase, mitochondrial (5' nucleotidase, mitochondrial)	NT5M	56953	ENSG00000205309			Nt5m (MGI:1917127)
chr17	17477000	17493221	17p11.2	17p11.2	609878	MED9, MED25, FLJ10193	Mediator of RNA polymerase II transcription, subunit 9, S. cerevisiae, homolog of	MED9	55090	ENSG00000141026			Med9 (MGI:2183151)
chr17	17494437	17496395	17p11.2	17p11.2	605550	RASD1, DEXRAS1	Ras protein, dexamethasone-induced, 1	RASD1	51655	ENSG00000108551			Rasd1 (MGI:1270848)
chr17	17505563	17592142	17p11.2	17p11.2	602391	PEMT, PEMPT	Phosphatidylethanolamine N-methyltransferase	PEMT	10400	ENSG00000133027			Pemt (MGI:104535)
chr17	17681458	17811453	17p11.2	17p11.2	607642	RAI1, SMCR, SMS	Retinoic acid-induced gene 1	RAI1	10743	ENSG00000108557		Smith-Magenis syndrome, 182290 (3), Isolated cases, Autosomal dominant	Rai1 (MGI:103291)
chr17	17811334	17836986	17p11.2	17p11.2	184756	SREBF1, IFAP2, HMD	Sterol regulatory element binding transcription factor 1	SREBF1	6720	ENSG00000072310		Ichthyosis, follicular, with atrichia and photophobia syndrome 2, 619016 (3), Autosomal dominant; Mucoepithelial dysplasia, hereditary, 158310 (3), Autosomal dominant	Srebf1 (MGI:107606)
chr17	17813836	17813931	17p11.2	17p11.2	613486	MIR33B, MIRN33B	Micro RNA 33B	MIR33B	693120	ENSG00000207839			
chr17	17843511	17972400	17p11.2	17p11.2	615519	TOM1L2	Target of MYB1-like 2 membrane trafficking protein	TOM1L2	146691	ENSG00000175662			Tom1l2 (MGI:2443306)
chr17	17972813	18016889	17p11.2	17p11.2	618758	DRC3, LRRC48, CFAP134	Dynein regulatory complex subunit 3	DRC3	83450	ENSG00000171962			Drc3 (MGI:1921915)
chr17	18015059	18039168	17p11.2	17p11.2	608918	ATPAF2, ATP12, MC5DN1	ATP synthase, mitochondrial F1 complex, assembly factor 2	ATPAF2	91647	ENSG00000171953	mutation identified in 1 MC5DN1 patient	?Mitochondrial complex V (ATP synthase) deficiency, nuclear type 1, 604273 (3), Autosomal recessive	Atpaf2 (MGI:2180561)
chr17	18039408	18068405	17p11.2	17p11.2	617699	GID4, VID2, C17orf39	GID complex, subunit 4	GID4	79018	ENSG00000141034			Gid4 (MGI:1914021)
chr17	18087948	18107969	17p11.2	17p11.2	602986	DRG2	Developmentally regulated GTP-binding protein 2	DRG2	1819	ENSG00000108591			Drg2 (MGI:1342307)
chr17	18108756	18179800	17p11.2	17p11.2	602666	MYO15A, DFNB3	Myosin XVA	MYO15A	51168	ENSG00000091536		Deafness, autosomal recessive 3, 600316 (3), Autosomal recessive	Myo15a (MGI:1261811)
chr17	18183828	18209954	17p11.2	17p11.2	613303	ALKBH5, ABH5	AlkB homolog 5, RNA demethylase	ALKBH5	54890	ENSG00000091542			Alkbh5 (MGI:2144489)
chr17	18225635	18244875	17p12-p11.2	17p11.2	600966	LLGL1, DLG4	LLGL scribble cell polarity complex component 1	LLGL1	3996	ENSG00000131899			Llgl1 (MGI:102682)
chr17	18244815	18259022	17p11.2	17p11.2	600362	FLII, CMD2J	FLII actin remodeling protein	FLII	2314	ENSG00000177731		Cardiomyopathy, dilated, 2J, 620635 (3), Autosomal recessive	Flii (MGI:1342286)
chr17	18260662	18266552	17p11.2	17p11.2	615498	MEIF2, SMCR7, MID49, COXPD49	Mitochondrial elongation factor 2	MIEF2	125170	ENSG00000177427	mutation identified in 1 COXPD49 patient	?Combined oxidative phosphorylation deficiency 49, 619024 (3), Autosomal recessive	Mief2 (MGI:2144199)
chr17	18271428	18314994	17p12-p11.2	17p11.2	601243	TOP3A, MGRISCE2, PEOB5	Topoisomerase (DNA) III, alpha	TOP3A	7156	ENSG00000177302	mutation identified in 1 PEOB5 patient	?Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 5, 618098 (3), Autosomal recessive; Microcephaly, growth restriction, and increased sister chromatid exchange 2, 618097 (3), Autosomal recessive	Top3a (MGI:1197527)
chr17	18315293	18328056	17p11.2	17p11.2	617074	SMCR8	Smith-Magenis syndrome chromosome region, candidate gene 8	SMCR8	140775	ENSG00000176994			Smcr8 (MGI:2444720)
chr17	18327873	18363550	17p11.2	17p11.2	182144	SHMT1	Serine hydroxymethyltransferase (soluble)	SHMT1	6470	ENSG00000176974	?role in Smith-Magenis syndrome		Shmt1 (MGI:98299)
chr17	18497090	18503285	17p13.1-q25	17p11.2	600719	NOS2P2, NOS2B	Nitric oxide synthase 2 pseudogene 2	NOS2P2	201288				
chr17	18667629	18682314	7p11.2	17p11.2	620471	FOXO3B	Forkhead box O3B	FOXO3B	2310	ENSG00000240445			Foxo3 (MGI:1890081)
chr17	18744054	18779349	17p12	17p11.2	611679	FBXW10	F-box and WD40 domain protein 10	FBXW10	10517	ENSG00000171931			Fbxw10 (MGI:3052463)
chr17	18856299	18931287	17p12-p11.2	17p11.2	603762	PRPSAP2, PAP41	Phosphoribosylpyrophosphate synthetase-associated protein 2	PRPSAP2	5636	ENSG00000141127			Prpsap2 (MGI:2384838)
chr17	18950676	19022565	17p11.2	17p11.2	618636	SLC5A10, SGLT5	Solute carrier family 5 (sodium/glucose cotransporter), member 10	SLC5A10	125206	ENSG00000154025			Slc5a10 (MGI:1926089)
chr17	18968789	19006116	17p11.2	17p11.2	615886	FAM83G, PAWS1	Family with sequence similarity 83, member G	FAM83G	644815	ENSG00000188522			Fam83g (MGI:1916890)
chr17	19020656	19051373	17p11.2	17p11.2	604330	GRAP, DFNB114	GRB2-related adaptor protein	GRAP	10750	ENSG00000154016		Deafness, autosomal recessive 114, 618456 (3), Autosomal recessive	Grap (MGI:1918770)
chr17	19188016	19188232	17p11.2	17p11.2	180710	RNU3	RNA, U3 small nuclear	SNORD3A	780851		deleted in Smith-Magenis syndrome		
chr17	19334695	19377913	17p11.2	17p11.2	614144	B9D1, MKSR1, MKS9, JBTS27	B9 domain-containing protein 1	B9D1	27077	ENSG00000108641	mutation identified in 1 MKS9 patient	?Meckel syndrome 9, 614209 (3), Autosomal recessive; Joubert syndrome 27, 617120 (3), Autosomal recessive	B9d1 (MGI:1351471)
chr17	19237366	19336715	Chr.17	17p11.2	607263	EPN2, KIAA1065	Epsin 2	EPN2	22905	ENSG00000072134			Epn2 (MGI:1333766)
chr17	19377750	19383544	17p11.2	17p11.2	602521	MAPK7, PRKM7, ERK5	Mitogen-activated protein kinase 7 (extracellular signal-regulated kinase 5)	MAPK7	5598	ENSG00000166484			Mapk7 (MGI:1346347)
chr17	19383445	19387190	17p11.2	17p11.2	600596	MFAP4	Microfibrillar-associated protein-4	MFAP4	4239	ENSG00000166482			Mfap4 (MGI:1342276)
chr17	19411232	19417276	17p11.2	17p11.2	601237	RNF112, ZNF179, BFP	RING finger protein 112	RNF112	7732	ENSG00000128482			Rnf112 (MGI:106611)
chr17	19533854	19579034	17p11.2	17p11.2	609832	SLC47A1, MATE1, FLJ10847	Solute carrier family 47, member 1	SLC47A1	55244	ENSG00000142494			Slc47a1,Slc47a2 (MGI:1914723,MGI:3588190)
chr17	19648136	19677596	17p11.2	17p11.2	609523	ALDH3A2, ALDH10, SLS, FALDH	Aldehyde dehydrogenase 3 family, member A2 (fatty aldehyde dehydrogenase)	ALDH3A2	224	ENSG00000072210		Sjogren-Larsson syndrome, 270200 (3), Autosomal recessive	Aldh3a2 (MGI:1353452)
chr17	19678317	19718979	17p11.2	17p11.2	609833	SLC47A2, MATE2, FLJ31196, MATE2K	Solute carrier family 47, member 2	SLC47A2	146802	ENSG00000180638			Slc47a1,Slc47a2 (MGI:1914723,MGI:3588190)
chr17	19737984	19748298	17p11.2	17p11.2	100660	ALDH3A1, ALDH3	Aldehyde dehydrogenase 3 family, member A1	ALDH3A1	218	ENSG00000108602			Aldh3a1 (MGI:1353451)
chr17	19770830	19867936	17p11.2	17p11.2	608650	ULK2, KIAA0623, UNC51.2	UNC51-like kinase 2	ULK2	9706	ENSG00000083290			Ulk2 (MGI:1352758)
chr17	19904302	19977828	17p11.1	17p11.2	604694	AKAP10	A-kinase anchor protein 10	AKAP10	11216	ENSG00000108599			Akap10 (MGI:1890218)
chr17	20009359	20319026	17p11.2	17p11.2	608793	SPECC1, HCMOGT1, NSP	Sperm antigen with calponin homology and coiled-coil domains 1	SPECC1	92521	ENSG00000128487			Specc1 (MGI:2442356)
chr17	20999596	21043419	17p11.2	17p11.2	612116	USP22, KIAA1064	Ubiquitin-specific protease 22	USP22	23326	ENSG00000124422			Usp22 (MGI:2144157)
chr17	21126964	21191420	17p11.2	17p11.2	616160	DHRS7B, SDR32C1	Short-chain dehydrogenase reductase family, member 7B	DHRS7B	25979	ENSG00000109016			Dhrs7b (MGI:2384931)
chr17	21197954	21214161	17p11.2	17p11.2	618817	TMEM11	Transmembrane protein 11	TMEM11	8834	ENSG00000178307			Tmem11 (MGI:2144726)
chr17	21284711	21315240	17q11.2	17p11.2	602315	PRKMK3, MAPKK3, MEK3	Protein kinase, mitogen-activated, kinase-3	MAP2K3	5606	ENSG00000034152			Map2k3 (MGI:1346868)
chr17	21376357	21419870	17p11.2-p11.1	17p11.2	602323	KCNJ12, KCNJN1	Potassium inwardly-rectifying channel, subfamily J, member 12	KCNJ12	3768	ENSG00000184185			Kcnj12 (MGI:108495)
chr17	21692523	21704612	17p11.2	17p11.2	613236	KCNJ18, KIR2.6, TTPP2	Potassium channel, inwardly rectifying, subfamily J, member 18	KCNJ18	100134444	ENSG00000260458		{Thyrotoxic periodic paralysis, susceptibility to, 2}, 613239 (3), Autosomal dominant	Kcnj12 (MGI:108495)
chr17	22406019	22413741	17p11.2	17p11.2	605160	PRG4, FLJ36000	p53-responsive gene 4		284124	ENSG00000276399			
chr17	22523415	22524663	17p11.2	17p11.2	616985	MTRNR2L1, HN1	MTRNR2-like 1	MTRNR2L1	100462977				
chr17	25100001	33500000	17q11		609378	AUTS6	Autism, susceptibility to, 6		554314		max lod at D17S1800	{Autism susceptibility 6}, 609378 (2)	
chr17	25100001	33500000	17q11		606601	ERVE1, HERVE1	Endogenous retroviral sequence E, 1	ERVE-1	85314				
chr17	25100001	83257441	17q		603918	HYT1	Hypertension, essential, susceptibility to, 1		117191		~18cM distal to ACE	{Hypertension, essential, susceptibility to, 1}, 145500 (2), Multifactorial	
chr17	27294114	27315926	17q11.1	17q11.1	610091	WSB1, SWIP1	WD repeat- and SOCS box-containing protein 1	WSB1	26118	ENSG00000109046			Wsb1 (MGI:1926139)
chr17	27400001	33500000	17q11.2		601395	CCL3L1, SCYA3L1, LD78	Chemokine, C-C motif, ligand 3-like 1	CCL3L1	6349		varies in copy number 1-10	{HIV/AIDS, susceptibility to}, 609423 (3)	Ccl3 (MGI:98260)
chr17	27400001	33500000	17q11.2		613675	DEL17q11.2, C17DELq11.2	Chromosome 17q11.2 deletion syndrome, 1.4Mb (NF1 microdeletion syndrome)					Chromosome 17q11.2 deletion syndrome, 1.4Mb, 613675 (4), Autosomal dominant	
chr17	27400001	33500000	17q11.2		618874	DUP17q11.2, C17DUPq11.2	Chromosome 17q11.2 duplication syndrome, 1.4-Mb					Chromosome 17q11.2 duplication syndrome, 1.4-Mb, 618874 (4), Isolated cases, Autosomal dominant	
chr17	27400001	72900000	17q11.2-q24		154275	MHS2	Malignant hyperthermia susceptibility 2		4264		?due to mutation in SCN4A	{Malignant hyperthermia susceptibility 2}, 154275 (2), Autosomal dominant	
chr17	27400001	33500000	17q11.2		612575	MPVQTL3	Mean platelet volume quantitative trait locus 3		100271869		associated with rs2138852	[Mean platelet volume QTL3], 612575 (2)	
chr17	27456448	27626435	17q11.2	17q11.2	601132	KSR, KSR1	Kinase suppressor of RAS	KSR1	8844	ENSG00000141068			Ksr1 (MGI:105051)
chr17	27631188	27649560	17q11.2	17q11.2	601879	LGALS9	Lectin, galactoside-binding, soluble, 9	LGALS9	3965	ENSG00000168961			Lgals9 (MGI:109496)
chr17	27756766	27800529	17cen-q11.2	17q11.2	163730	NOS2A, NOS2	Nitric oxide synthase 2A	NOS2	4843	ENSG00000007171	?cluster of 3 NOS2 genes	{Malaria, resistance to}, 611162 (3)	Nos2 (MGI:97361)
chr17	28042677	28206074	17q11.2	17q11.2	609476	NLK	NEMO-like kinase	NLK	51701	ENSG00000087095			Nlk (MGI:1201387)
chr17	28226563	28228060	17q11	17q11.2	606637	PYY2	Peptide YY, 2	PYY2	23615	ENSG00000290671			
chr17	28247444	28248289	17q11	17q11.2	606638	PPY2	Pancreatic polypeptide 2	PPY2P	23614	ENSG00000290672			
chr17	28319200	28328685	17q11.2	17q11.2	612912	TMEM97, MAC30	Transmembrane protein 97	TMEM97	27346	ENSG00000109084			Tmem97 (MGI:1916321)
chr17	28328326	28335472	17p11.1	17q11.2	614394	IFT20	Intraflagellar transport 20	IFT20	90410	ENSG00000109083			Ift20 (MGI:1915585)
chr17	28335761	28347009	17q22-q23	17q11.2	191161	TNFAIP1	Tumor necrosis factor, alpha-induced protein-1 (endothelial)	TNFAIP1	7126	ENSG00000109079			Tnfaip1 (MGI:104961)
chr17	28346633	28357527	17q11.2	17q11.2	611519	POLDIP2, PDIP38	Polymerase delta-interacting protein 2	POLDIP2	26073	ENSG00000004142			Poldip2 (MGI:1915061)
chr17	28357647	28363683	17q11.2	17q11.2	616815	TMEM199, VMA12, VPH2, C17orf32, CDG2P	Transmembrane protein 199	TMEM199	147007	ENSG00000244045		Congenital disorder of glycosylation, type IIp, 616829 (3), Autosomal recessive	Tmem199 (MGI:2144113)
chr17	28363506	28365199	17q11.2	17q11.2	610975	SEBOX, OG9	Skin-, embryo-, brain-, and oocyte-specific homeobox	SEBOX	645832	ENSG00000274529			Sebox (MGI:108012)
chr17	28367284	28370307	17q11	17q11.2	193190	VTN, VNT	Vitronectin (serum spreading factor, somatomedin B, complement S-protein)	VTN	7448	ENSG00000109072			Vtn (MGI:98940)
chr17	28371694	28404049	17q11	17q11.2	607732	SARM, KIAA0524	Sterile alpha and heat/armadillo motifs-containing protein	SARM1	23098	ENSG00000004139			Sarm1 (MGI:2136419)
chr17	28394642	28406592	17q11.1	17q11.2	611672	SLC46A1, HCP1, PCFT	Solute carrier family 46 (folate transporter), member 1	SLC46A1	113235	ENSG00000076351		Folate malabsorption, hereditary, 229050 (3), Autosomal recessive	Slc46a1 (MGI:1098733)
chr17	28473644	28497781	17p11.1-q11.1	17q11.2	604148	SLC13A2, NADC1	Solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2	SLC13A2	9058	ENSG00000007216			Slc13a2 (MGI:1276558)
chr17	28506348	28538900	17q11-q12	17q11.2	600838	FOXN1, WHN, TIDAND, TLIND	Forkhead box N1 (winged helix nude)	FOXN1	8456	ENSG00000109101		T-cell lymphopenia, infantile, with or without nail dystrophy, autosomal dominant, 618806 (3), Autosomal dominant; T-cell immunodeficiency, congenital alopecia, and nail dystrophy, 601705 (3), Autosomal recessive	Foxn1 (MGI:102949)
chr17	28546707	28552628	17q11.2	17q11.2	604011	UNC119, HRG4, IMD13, CORD24	unc-119 lipid binding chaperone	UNC119	9094	ENSG00000109103	mutation identified in 1 IMD13 family	Cone-rod dystrophy 24, 620342 (3), Autosomal dominant; ?Immunodeficiency 13, 615518 (3), Autosomal dominant	Unc119 (MGI:1328357)
chr17	28553387	28571524	17q11.2	17q11.2	610271	PIGS, GPIBD18, DEE95	Phosphatidylinositol glycan, class S	PIGS	94005	ENSG00000087111		Developmental and epileptic encephalopathy 95, 618143 (3), Autosomal recessive	Pigs (MGI:2687325)
chr17	28573120	28576895	17cen-q12	17q11.2	103870	ALDOC	Aldolase C, fructose-bisphosphatase	ALDOC	230	ENSG00000109107			Aldoc (MGI:101863)
chr17	28577574	28599025	17q11.2	17q11.2	615562	SPAG5, MAP126, ASTRIN	Sperm-associated antigen 5	SPAG5	10615	ENSG00000076382			Spag5 (MGI:1927470)
chr17	28614440	28645159	17q11.2	17q11.2	610664	KIAA0100, BCOX1	KIAA0100 gene	BLTP2	9703	ENSG00000007202			Bltp2 (MGI:1919753)
chr17	28648346	28662194	17q11.2	17q11.2	602934	SDF2	Stromal cell-derived factor-2	SDF2	6388	ENSG00000132581			Sdf2 (MGI:108019)
chr17	28662205	28702679	17q11.2	17q11.2	601333	SUPT6H	SPT6 homolog, histone chaperone and transcription elongation factor	SUPT6H	6830	ENSG00000109111			Supt6 (MGI:107726)
chr17	28703197	28711888	17q11.2	17q11.2	617376	PROCA1	Proline-rich cyclin A1-interacting protein	PROCA1	147011	ENSG00000167525			Proca1 (MGI:1918274)
chr17	28714281	28718428	17q11.1	17q11.2	610917	RAB34, RAH	Ras-associated protein 34	RAB34	83871	ENSG00000109113			Rab34 (MGI:104606)
chr17	28719985	28724359	17q11	17q11.2	602326	RPL23A	Ribosomal protein L23a	RPL23A	6147	ENSG00000198242			Rpl23a (MGI:3040672)
chr17	28728788	28743455	17q11.1	17q11.2	609799	NEK8, JCK, NPHP9, RHPD2	NIMA-related kinase 8	NEK8	284086	ENSG00000160602	mutations identified in 1 family with NPHP9	Renal-hepatic-pancreatic dysplasia 2, 615415 (3), Autosomal recessive; ?Nephronophthisis 9, 613824 (3)	Nek8 (MGI:1890646)
chr17	28744011	28750956	17q11.2	17q11.2	602464	TRAF4, MLN62, CART1	TNF receptor-associated factor 4	TRAF4	9618	ENSG00000076604			Traf4 (MGI:1202880)
chr17	28855016	28861061	17q11.2	17q11.2	607435	ERAL1, ERAL1A, ERAL1B, PRLTS6	ERA G-protein-like 1	ERAL1	26284	ENSG00000132591		Perrault syndrome 6, 617565 (3), Autosomal recessive	Eral1 (MGI:1889295)
chr17	28861369	28861440	17q11.2	17q11.2	612071	MIR451, MIRN451	Micro RNA 451	MIR451A	574411	ENSG00000284565			Mir451a (MGI:3619412)
chr17	28861533	28861618	17q11.2	17q11.2	612070	MIR144, MIRN144	Micro RNA 144	MIR144	406936	ENSG00000283819			Mir144 (MGI:2676829)
chr17	28879339	28897733	17q11-q12	17q11.2	131560	FLOT2, M17S1, ECS1, ESA1	Flotillin 2 (epidermal surface antigen 1)	FLOT2	2319	ENSG00000132589	~180kb centromeric to NF1		Flot2 (MGI:103309)
chr17	28897781	28903079	17q11.2	17q11.2	616157	DHRS13, SDR7C5	Short-chain dehydrogenase reductase family, member 13	DHRS13	147015	ENSG00000167536			Dhrs13 (MGI:1917701)
chr17	28905250	28951518	17q11.2	17q11.2	618645	PHF12, PF1	PHD finger protein 12	PHF12	57649	ENSG00000109118			Phf12 (MGI:1924057)
chr17	28954905	29006440	17q11.2	17q11.2	616666	SEZ6, BSRPC	Seizure-related 6, mouse, homolog of	SEZ6	124925	ENSG00000063015			Sez6 (MGI:104745)
chr17	29043141	29057216	17q11.2	17q11.2	616713	PIPOX	Pipecolic acid oxidase	PIPOX	51268	ENSG00000179761			Pipox (MGI:1197006)
chr17	29071122	29180398	17q11.2	17q11.2	610067	MYO18A, SPR210	Myosin XVIIIA	MYO18A	399687	ENSG00000196535			Myo18a (MGI:2667185)
chr17	29071122	29180398	17q11.2	17q11.2	609517	TIAF1, MYO18A, MYSPDZ, MAJN, SPR210, KIAA0216	TGFB1-induced antiapoptotic factor 1	MYO18A	399687	ENSG00000196535			
chr17	29246859	29254494	17q11.1-q12	17q11.2	123610	CRYBA1, CRYB1, CTRCT10	Crystallin, beta A1	CRYBA1	1411	ENSG00000108255	centromeric to NF1	Cataract 10, multiple types, 600881 (3), Autosomal dominant	Cryba1 (MGI:88518)
chr17	29255839	29294148	17q11.2	17q11.2	609356	NUFIP2, KIAA1321, PIG1	Nuclear FMR1 interacting protein 2	NUFIP2	57532	ENSG00000108256			Nufip2 (MGI:1915814)
chr17	29390363	29551903	17q11.2	17q11.2	610266	TAOK1, PSK2, TAO1, MARKK, DDIB	TAO kinase 1	TAOK1	57551	ENSG00000160551		Developmental delay with or without intellectual impairment or behavioral abnormalities, 619575 (3), Autosomal dominant	Taok1 (MGI:1914490)
chr17	29560547	29567037	17q11.2	17q11.2	619894	ABHD15	Abhydrolase domain-containing protein 15	ABHD15	116236	ENSG00000168792			Abhd15 (MGI:1914727)
chr17	29573475	29589648	17q11.2	17q11.2	608434	GIT1	GIT ArfGap 1	GIT1	28964	ENSG00000108262			Git1 (MGI:1927140)
chr17	29593132	29614761	17q11.2	17q11.2	615124	ANKRD13B	Ankyrin repeat domain-containing protein 13B	ANKRD13B	124930	ENSG00000198720			Ankrd13b (MGI:2144501)
chr17	29625938	29930228	17q11.2	17q11.2	606779	SSH2, KIAA1725	Slingshot, Drosophila, homolog of, 2	SSH2	85464	ENSG00000141298			Ssh2 (MGI:2679255)
chr17	30116816	30186475	17q11.2	17q11.2	616173	NSRP1, NSRP70, CCDC55, NEDSSBA	Nuclear speckle splicing regulatory protein 1	NSRP1	84081	ENSG00000126653		Neurodevelopmental disorder with spasticity, seizures, and brain abnormalities, 620001 (3), Autosomal recessive	Nsrp1 (MGI:2144305)
chr17	30194319	30235697	17q11.1-q12	17q11.2	182138	SLC6A4, HTT, OCD1	Solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	SLC6A4	6532	ENSG00000108576		{Obsessive-compulsive disorder}, 164230 (3), Autosomal dominant; {Anxiety-related personality traits}, 607834 (3)	Slc6a4 (MGI:96285)
chr17	30248203	30291944	17q11.2	17q11.2	602403	BLMH, BMH	Bleomycin hydrolase	BLMH	642	ENSG00000108578			Blmh (MGI:1345186)
chr17	30378927	30469989	17p11.1-q11.1	17q11.2	603102	CPD	Carboxypeptidase D	CPD	1362	ENSG00000108582			Cpd (MGI:107265)
chr17	30477408	30527592	17q11	17q11.2	604026	GOSR1, GOS28, GS28	Golgi snap receptor complex member 1	GOSR1	9527	ENSG00000108587			Gosr1 (MGI:1858260)
chr17	30782684	30824692	17q11.2	17q11.2	614853	CRLF3, CYTOR4, CRLM9, CREME9	Cytokine receptor-like factor 3	CRLF3	51379	ENSG00000176390			Crlf3 (MGI:1860086)
chr17	30831966	30895869	17q11.2	17q11.2	609534	ATAD5, C17orf41, FRAG1, FLJ12735	ATPase family, AAA domain containing 5	ATAD5	79915	ENSG00000176208			Atad5 (MGI:2442925)
chr17	30898986	30906238	17q11.2	17q11.2	616422	TEFM, C17orf42, COXPD58	Transcription elongation factor, mitochondrial	TEFM	79736	ENSG00000172171		Combined oxidative phosphorylation deficiency 58, 620451 (3), Autosomal recessive	Tefm (MGI:1915800)
chr17	30921945	30959322	17q11.2	17q11.2	608635	ADAP2, CENTA2	ArfGAP with dual PH domains 2	ADAP2	55803	ENSG00000184060			Adap2 (MGI:2663075)
chr17	30958921	30999911	17q11	17q11.2	611358	RNF135	Ring finger protein 135	RNF135	84282	ENSG00000181481			Rnf135 (MGI:1919206)
chr17	31094927	31377677	17q11.2	17q11.2	613113	NF1, VRNF, WSS, NFNS	Neurofibromin (neurofibromatosis, type I)	NF1	4763	ENSG00000196712		Watson syndrome, 193520 (3), Autosomal dominant; Leukemia, juvenile myelomonocytic, 607785 (3), Somatic mutation, Autosomal dominant; Neurofibromatosis, familial spinal, 162210 (3), Autosomal dominant; Neurofibromatosis, type 1, 162200 (3), Autosomal dominant; Neurofibromatosis-Noonan syndrome, 601321 (3), Autosomal dominant	Nf1 (MGI:97306)
chr17	31294647	31297239	17q11.2	17q11.2	164345	OMG, OMGP	Oligodendrocyte-myelin glycoprotein	OMG	4974	ENSG00000126861	within the NF1 gene		Omg (MGI:106586)
chr17	31303770	31314054	17q11.2	17q11.2	158381	EVI2B, EVDB	Ecotropic viral integration site 2B	EVI2B	2124	ENSG00000185862	within the NF1 gene		Evi2,Evi2b (MGI:1890682,MGI:5439444)
chr17	31316410	31321622	17q11.2	17q11.2	158380	EVI2A, EVI2, EVDA	Ecotropic viral integration site 2A	EVI2A	2123	ENSG00000126860	within the NF1 gene		Evi2a (MGI:95458)
chr17	31391675	31538211	17q11.2	17q11.2	611999	RAB11FIP4, KIAA1821	RAB11 family-interacting protein 4	RAB11FIP4	84440	ENSG00000131242			Rab11fip4 (MGI:2442920)
chr17	31559996	31560083	17q11.2	17q11.2	614733	MIR193A	Micro RNA 193A	MIR193A	406968	ENSG00000207614			Mir193a (MGI:2676857)
chr17	31937007	32001038	17q11.2	17q11.2	606245	SUZ12, JJAZ1, KIAA0160, IMMAS	SUZ12 polycomb repressive complex 2 subunit	SUZ12	23512	ENSG00000178691		Imagawa-Matsumoto syndrome, 618786 (3), Autosomal dominant	Suz12 (MGI:1261758)
chr17	32007383	32053487	17q11.2	17q11.2	616558	LRRC37B	Leucine-rich repeat-containing protein 37B	LRRC37B	114659	ENSG00000185158			Lrrc37 (MGI:2685730)
chr17	32142502	32225727	17q11.2	17q11.2	613888	RHOT1, MIRO1, ARHT1	Ras homolog gene family, member T1	RHOT1	55288	ENSG00000126858			Rhot1 (MGI:1926078)
chr17	32265832	32324661	17q11.2	17q11.2	619017	RHBDL3, VRHO	Rhomboid-like 3	RHBDL3	162494	ENSG00000141314			Rhbdl3 (MGI:2179276)
chr17	32350157	32381885	17q11.2	17q11.2	603428	ZNF207	Zinc finger protein-207	ZNF207	7756	ENSG00000010244	mapped by FISH to 6p21.3		Zfp207 (MGI:1340045)
chr17	32444510	32483319	17q11.2	17q11.2	604449	PSMD11, S9	Proteasome 26S subunit, non-ATPase, 11	PSMD11	5717	ENSG00000108671			Psmd11 (MGI:1916327)
chr17	32486993	32491253	17q11.2	17q11.2	603460	CDK5R1, p35	Cyclin-dependent kinase 5, regulatory subunit 1	CDK5R1	8851	ENSG00000176749			Cdk5r1 (MGI:101764)
chr17	32492522	32877124	17q11-q12	17q11.2	606539	MYO1D, KIAA0727	Myosin ID	MYO1D	4642	ENSG00000176658			Myo1d (MGI:107728)
chr17	32928153	32944315	17q11.2	17q11.2	615949	TMEM98, NNO4	Transmembrane protein 98	TMEM98	26022	ENSG00000006042		Nanophthalmos 4, 615972 (3), Autosomal dominant	Tmem98 (MGI:1923457)
chr17	32991847	32997877	17q12	17q11.2	612749	SPACA3, LYZL3, SLLP1, LYC3, ALLP17	Sperm acrosome-associated 3	SPACA3	124912	ENSG00000141316			Spaca3 (MGI:1922872)
chr17	33013087	34156768	17q11.2-q12	17q11.2-q12	601784	ACCN1, BNC1, MDEG	Amiloride-sensitive cation channel 1, neuronal (degenerin)	ASIC2	40	ENSG00000108684			Asic2 (MGI:1100867)
chr17	33500001	39800000	17q12		609467	CCL3P1, CCL3L2	Chemokine, CC motif, ligane 3, pseudogene 1	CCL3P1	390788				
